000, 52.6684, 0.7031, 0.6160
001, 46.1399, 0.5738, 0.4929
002, 40.5341, 0.4764, 0.4083
003, 35.4034, 0.3982, 0.3901
004, 31.4345, 0.3400, 0.2963
005, 28.5508, 0.2970, 0.2914
006, 26.3471, 0.2711, 0.3030
007, 24.5189, 0.2486, 0.2355
008, 22.8693, 0.2286, 0.2459
009, 21.5437, 0.2120, 0.2442
010, 20.5018, 0.2006, 0.2312
011, 19.3845, 0.1858, 0.2059
012, 18.7415, 0.1800, 0.1903
013, 18.0716, 0.1729, 0.2016
014, 17.3353, 0.1634, 0.1689
015, 16.6190, 0.1563, 0.2167
016, 16.1431, 0.1502, 0.1517
017, 15.6359, 0.1442, 0.1756
018, 15.1910, 0.1386, 0.1468
019, 14.9564, 0.1374, 0.1493
020, 14.3573, 0.1310, 0.1377
021, 14.0586, 0.1272, 0.1704
022, 13.8699, 0.1241, 0.1555
023, 13.3387, 0.1203, 0.1449
024, 13.0771, 0.1168, 0.1559
025, 12.7256, 0.1121, 0.1514
026, 12.4178, 0.1086, 0.1479
027, 12.2852, 0.1088, 0.1211
028, 11.9596, 0.1045, 0.1279
029, 11.7337, 0.1030, 0.1186
030, 11.4904, 0.0988, 0.1357
031, 11.2774, 0.0962, 0.1305
032, 11.1335, 0.0962, 0.1563
033, 11.0671, 0.0949, 0.1763
034, 10.7997, 0.0919, 0.1149
035, 10.6719, 0.0919, 0.1143
036, 10.4490, 0.0888, 0.1428
037, 10.3226, 0.0876, 0.1132
038, 10.2564, 0.0875, 0.1235
039, 10.0450, 0.0844, 0.1463
040, 10.0178, 0.0845, 0.1254
041, 9.6639 , 0.0804, 0.1245
042, 9.6919 , 0.0805, 0.1232
043, 9.4612 , 0.0785, 0.1343
044, 9.4880 , 0.0792, 0.1285
045, 9.3278 , 0.0766, 0.1057
046, 9.2683 , 0.0764, 0.1338
047, 9.1158 , 0.0740, 0.1060
048, 9.0741 , 0.0737, 0.1043
049, 8.9208 , 0.0724, 0.1140
050, 8.9094 , 0.0729, 0.1501
051, 8.8561 , 0.0727, 0.1074
052, 8.8638 , 0.0718, 0.1076
053, 8.5514 , 0.0677, 0.1112
054, 8.4826 , 0.0670, 0.1351
055, 8.4192 , 0.0656, 0.1201
056, 8.4857 , 0.0684, 0.1109
057, 8.4429 , 0.0680, 0.1194
058, 8.2726 , 0.0658, 0.1092
059, 8.2492 , 0.0637, 0.1033
060, 7.9694 , 0.0618, 0.1155
061, 8.0770 , 0.0631, 0.0943
062, 8.2013 , 0.0655, 0.1228
063, 8.0753 , 0.0625, 0.1149
064, 8.0392 , 0.0626, 0.1157
065, 7.9285 , 0.0626, 0.1077
066, 7.8383 , 0.0601, 0.1205
067, 7.9856 , 0.0621, 0.1252
068, 7.9518 , 0.0636, 0.1146
069, 7.8411 , 0.0615, 0.1190
070, 7.8369 , 0.0615, 0.1043
071, 7.7463 , 0.0598, 0.1091
072, 7.6639 , 0.0593, 0.1183
073, 7.7740 , 0.0597, 0.1016
074, 7.5930 , 0.0579, 0.1040
075, 7.6822 , 0.0600, 0.1097
076, 7.4173 , 0.0555, 0.1043
077, 7.4581 , 0.0563, 0.1230
078, 7.4088 , 0.0569, 0.1150
079, 7.3005 , 0.0549, 0.1159
080, 7.3041 , 0.0546, 0.1172
081, 7.4622 , 0.0575, 0.1105
082, 7.3483 , 0.0552, 0.1203
083, 7.2995 , 0.0547, 0.1205
084, 7.3280 , 0.0553, 0.1076
085, 7.2449 , 0.0551, 0.1145
086, 7.1561 , 0.0538, 0.1080
087, 7.3510 , 0.0551, 0.0931
088, 6.9972 , 0.0517, 0.1049
089, 7.0647 , 0.0538, 0.1114
090, 6.9571 , 0.0523, 0.1116
091, 7.1040 , 0.0543, 0.1137
092, 6.8064 , 0.0503, 0.1023
093, 6.9196 , 0.0511, 0.0962
094, 6.8682 , 0.0505, 0.1153
095, 6.8812 , 0.0512, 0.1005
096, 6.7534 , 0.0491, 0.1010
097, 6.7786 , 0.0495, 0.1045
098, 6.7932 , 0.0502, 0.1101
099, 6.8621 , 0.0503, 0.0973
100, 6.7143 , 0.0489, 0.1146
101, 6.7303 , 0.0486, 0.1032
102, 6.5927 , 0.0483, 0.1089
103, 6.6863 , 0.0482, 0.1059
104, 6.5405 , 0.0469, 0.1133
105, 6.6531 , 0.0488, 0.1404
106, 6.4986 , 0.0478, 0.1098
107, 6.4554 , 0.0458, 0.1172
108, 6.5323 , 0.0468, 0.1021
109, 6.6044 , 0.0470, 0.1051
110, 6.4319 , 0.0456, 0.1018
111, 6.4765 , 0.0465, 0.1012
112, 6.4506 , 0.0472, 0.1005
113, 6.4385 , 0.0459, 0.1241
114, 6.4925 , 0.0472, 0.1260
115, 6.3039 , 0.0440, 0.1033
116, 6.2931 , 0.0443, 0.1101
117, 6.3124 , 0.0454, 0.0985
118, 6.3866 , 0.0458, 0.1035
119, 6.3990 , 0.0456, 0.1029
120, 6.2306 , 0.0442, 0.1181
121, 6.3408 , 0.0454, 0.1023
122, 6.0980 , 0.0433, 0.1085
123, 6.2755 , 0.0437, 0.0965
124, 6.2633 , 0.0443, 0.0977
125, 6.1958 , 0.0436, 0.1136
126, 6.1363 , 0.0431, 0.1177
127, 6.2239 , 0.0437, 0.0975
128, 6.1199 , 0.0428, 0.1027
129, 6.3170 , 0.0444, 0.0946
130, 6.0596 , 0.0421, 0.1072
131, 6.1288 , 0.0431, 0.1217
132, 6.0980 , 0.0421, 0.0958
133, 6.0316 , 0.0416, 0.1073
134, 5.9924 , 0.0417, 0.0972
135, 6.0337 , 0.0421, 0.1086
136, 6.0144 , 0.0408, 0.1253
137, 6.2393 , 0.0438, 0.1086
138, 6.0395 , 0.0417, 0.1135
139, 5.8861 , 0.0399, 0.1026
140, 5.9958 , 0.0416, 0.0991
141, 5.9347 , 0.0396, 0.0955
142, 6.0743 , 0.0426, 0.1097
143, 5.9647 , 0.0417, 0.1089
144, 6.0446 , 0.0428, 0.1060
145, 5.9689 , 0.0416, 0.0985
146, 5.9142 , 0.0415, 0.0979
147, 5.8729 , 0.0408, 0.1097
148, 5.7678 , 0.0389, 0.0977
149, 5.8623 , 0.0408, 0.1119
150, 5.9514 , 0.0417, 0.1027
151, 5.7244 , 0.0392, 0.0998
152, 5.9014 , 0.0404, 0.0980
153, 5.8393 , 0.0403, 0.0981
154, 5.7643 , 0.0394, 0.0963
155, 5.6656 , 0.0384, 0.0960
156, 5.7010 , 0.0394, 0.1001
157, 5.7129 , 0.0374, 0.1019
158, 5.7490 , 0.0394, 0.0942
159, 5.7702 , 0.0390, 0.1374
160, 5.8698 , 0.0410, 0.1021
161, 5.7347 , 0.0389, 0.0996
162, 5.7888 , 0.0388, 0.0956
163, 5.6254 , 0.0373, 0.0969
164, 5.7532 , 0.0394, 0.1154
165, 5.6839 , 0.0385, 0.1012
166, 5.7030 , 0.0382, 0.1032
167, 5.6407 , 0.0361, 0.1061
168, 5.7825 , 0.0399, 0.1190
169, 5.6574 , 0.0381, 0.1080
170, 5.6591 , 0.0379, 0.0990
171, 5.5483 , 0.0368, 0.1010
172, 5.6693 , 0.0379, 0.1100
